id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier,סוג_מגן,צבע_דומיננטי,תגיות_1,תגיות_2,תגיות_3,תגיות_4,תגיות_5,תגיות_6,תגיות_7,תגיות_8,תגיות_9,תגיות_10,שנת_אימוץ,מעצב,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,color_1,color_2,color_3,color_4,color_5,lat,lng
ashkelon,אשקלון,Ashkelon,city,south,jewish,found,yes,yes,149160,עיר גדולה,סמליל,כחול,כוכבים,גלים,גלגל שיניים,,,,,,,,1951,מרדכי קרוביצקי ושמואל טפלר,הסמל הישן אומץ ב-1951 עם הפיכתה לעיר,חמישה כוכבים סימלו את חמש שכונות העיר,עמוד שיש עם כותרת סימל את עתיקות אשקלון,ב-2021 אומץ סמל חדש עם צורות גאומטריות צבעוניות,,,,,כחול,לבן,,,,31.6688,34.5742
or-yehuda,אור-יהודה,Or Yehuda,city,tel-aviv,jewish,found,yes,yes,40000,עיירה,סמליל,כתום,שמש,קרני אור,,,,,,,,,2017,,צורות גאומטריות הפורצות ממרכז אחד לכל הכיוונים,"הצורות מרכיבות את המילה ""אור""",הצורה הימנית בכתום יוצרת את האות C כראשי תיבות Center,,,,,,כתום,לבן,,,,32.0325,34.8567
kiryat-ono,קריית-אונו,Kiryat Ono,city,tel-aviv,jewish,found,yes,yes,38000,עיירה,סמליל,ירוק,עץ,הדר,חומה,,,,,,,,1954,,אומץ ב-1954 לאחר פרישה ממועצה אזורית אונו,עץ הדר מסמל את הפרדסים באזור,חומת אבנים מסמלת את הבנייה בעיר,ב-2010 נערך סקר בין תושבים לבחירת סמל לחגיגות 70 שנה,,,,,ירוק,כתום,שחור,,,32.0636,34.8555
kiryat-shmona,קריית-שמונה,Kiryat Shmona,city,north,jewish,found,yes,no,25000,עיירה,סמליל,לא ידוע,מגן,שמש,הר,גלגל שיניים,אריה,,,,,,1974,נדב יעקב,אומץ ב-1974 עם הכרזת קריית שמונה כעיר,האריה מסמל את אנדרטת גיבורי תל חי,גלגל שיניים ומבנה תעשייה מסמלים את התעשייה,החרמון והשמש מסמלים את הנוף ואת התקווה,הסמל הראשון של המועצה אומץ ב-1954 והופיע על בול ב-1966,ב-2017 אומץ סמליל ממותג עם ספרה 8 בשמונה צבעים,,,שמונה צבעים,,,,,33.2072,35.57
binyamina-givat-ada,מועצה מקומית בנימינה-גבעת-עדה,Binyamina-Giv'at Ada,local,haifa,jewish,found,no,yes,15000,מועצה מקומית,סמליל,לא ידוע,,,,,,,,,,,2003,,אומץ ב-2003,מורכב משם המועצה המלווה בסמלי שני היישובים בנימינה וגבעת עדה,,,,,,,,,,,,32.5228,34.944
emek-yizrael,מועצה אזורית עמק-יזרעאל,Emek Yizrael,regional,north,jewish,found,yes,no,40146,מועצה אזורית,סמליל,ירוק,שדה,,,,,,,,,,1980,,אומץ ב-24 בנובמבר 1980,שני חלקים סימטריים בצורת ספר פתוח,חלק תחתון בצורת גל,קווים יוצרים תמונה של שדה חרוש,,,,,ירוק,לבן,,,,32.6167,35.3
mateh-asher,מועצה אזורית מטה-אשר,Mateh Asher,regional,north,jewish,found,yes,no,30846,מועצה אזורית,סמליל,ירוק,עץ,,,,,,,,,,,,צורת כד שתחתיתו מלאה מים,סמל ירוק בתוכו המזכיר עץ,,,,,,,ירוק,,,,,33.05,35.15
misgav,מועצה אזורית משגב,Misgav,regional,north,jewish,found,no,yes,25000,מועצה אזורית,סמליל,ירוק,,,,,,,,,,,,,המוטיב המרכזי הוא שם המועצה בעברית ובערבית,ספירלה מעוגלים בצבעים אדום כתום ירוק וכחול,,,,,,,אדום,כתום,ירוק,כחול,,32.8922,35.3052
modiin,מודיעין-מכבים-רעות,Modiin,city,center,jewish,found,yes,no,97097,עיר,סמליל,ירוק,הר,מפעל,ארובה,,,,,,,,1996,,אומץ בפברואר 1996,איור בגווני ירוק של הר,מבנה עם ארובה שממנה יוצא עשן אדום,,,,,,ירוק,אדום,,,,31.8975,35.0105
nazareth,נצרת,Nazareth,city,north,arab,found,yes,no,80000,עיר,סמליל,לא ידוע,מזרקה,עץ,,,,,,,,,1955,,אומץ בנובמבר 1955,ציור של מעיין מרים ועץ,שם העיר בערבית עברית ואנגלית,,,,,,,,,,,32.7021,35.2978
raanana,רעננה,Ra'anana,city,center,jewish,found,yes,no,78562,עיר,סמליל,ירוק,הדר,מגדל מים,,,,,,,,,2023,"ישעיהו בן-יליד (1963), עוצב מחדש 2021",הסמל המקורי עוצב ב-1963 על ידי ישעיהו בן-יליד,נבחר בתחרות גרפיקאים,עץ הדר מסמל את פרי ההדר וענפי התעשייה,שלושה מגדלי מים מייצגים את מגדלי המים ההיסטוריים,ב-1989 שופץ הסמל על ידי נאוה פורת,ב-2021 עודכן לגרסה מינימליסטית עם המספר 100,ב-2023 הוסר המספר 100 מהסמל החדש,,ירוק,לבן,,,,32.1841,34.8706
nahariya,נהריה,Nahariya,city,north,jewish,found,yes,no,61000,עיר,סמליל,כחול,מגן,שמש,שדה,זית,מגדל מים,גלים,קרני אור,מוטו,,,1941,בנימין מאייר,נבחר בתחרות ציורים ב-1941 על ידי תלמיד בית הספר ויצמן,הכתובת בעברית קדומה הוספה על ידי אפריים הלטרכט,"כתובת ""ברוך מבנים אשר"" מבוססת על ברכות משה",מגדל המים מייצג את ראשית ההתיישבות היהודית באזור,שדה חרוש וגלים מסמלים את מיקומה על החוף ואת אופייה החקלאי,הסמל הופיע על בול דואר ב-1969 בעיצוב האחים שמיר,ב-2019 אומץ סמליל ממותג עם ניקוד צבעוני,,כחול,לבן,,,,33.0079,35.095
kiryat-ata,קריית-אתא,Kiryat Ata,city,haifa,jewish,found,no,yes,57000,עיר,סמליל,ירוק,מפעל,ארובה,,,,,,,,,1969,יעקב לנדאו,אומץ עם כינון קריית אתא כעיר ב-1969,הסמל מבוסס על מפעל אתא בסמוך לעיר,נבחר בתחרות שדרשה לייצג חקלאות ותעשייה,עיצוב הסמל בידי יעקב לנדאו תושב תל אביב,ב-2016 אומץ סמליל ממותג לכבוד 90 שנה לעיר,,,,ירוק,כחול,,,,32.8059,35.1091
yavne,יבנה,Yavne,city,center,jewish,found,yes,no,53595,עיר,סמליל,כחול,שמש,מוטו,,,,,,,,,1986,דן רייזינגר,אומץ ב-1986 עם הפיכתה ממועצה מקומית לעיר,הסמל מחולק לשלושה חלקים המייצגים עבר הווה ועתיד,הכיפה המרכזית מייצגת את קבר רבן גמליאל,השמש מסמלת פיתוח ועלייה,הספר הפתוח מסמל חינוך ותרבות,הצבע הכחול מייצג את הים ואת נחל שורק ונחל יבנה,הצבע הכתום מייצג את הקרקע החולית,הסמל הקודם כלל מגן קבר רבן גמליאל שיבולת חיטה גלגל שיניים וכף בנאים,כחול,כתום,,,,31.8771,34.7425
shefaram,שפרעם,Shefaram,city,north,mixed,found,yes,no,38000,עיירה,סמליל,לא ידוע,מבנה עתיק,,,,,,,,,,1966,,אומץ ב-19 במאי 1966,ציור של מבנה אליו מחוברים שמות העיר בעברית וערבית,,,,,,,,,,,,32.8057,35.1698
ramat-hasharon,רמת-השרון,Ramat HaSharon,city,tel-aviv,jewish,found,yes,no,47000,עיירה,סמליל,ירוק,מגדל מים,פרח,,,,,,,,,1958,זאב ליפמן,עוצב על ידי זאב ליפמן מסטודיו רולי בתחרות בשנות ה-50,מגדל המים של רמת השרון נבנה ב-1930 ליד תיכון רוטברג,פרחים מסמלים את גידול הפרחים שהיה חלק מרכזי בחקלאות,הסמל מופיע על דגל העיר על רקע כתום,,,,,ירוק,לבן,,,,32.1464,34.8398
abu-sinan,אבו-סנאן,Abu Sinan,local,north,mixed,found,yes,no,14455,מועצה מקומית,סמליל,צהוב,חיטה,,,,,,,,,,1968,,אומץ ב-30 במאי 1968,שני שיבולי חיטה בצבע צהוב,,,,,,,צהוב,,,,,32.9006,35.1591
alfei-menashe,מועצה מקומית אלפי-מנשה,Alfei Menashe,local,judea-samaria,jewish,found,yes,no,9000,מועצה מקומית,סמליל,לא ידוע,שמש,ארובה,מסגד,הר,,,,,,,1985,שלומי גולן,עוצב ב-1985 על ידי שלומי גולן,שמש מסמלת מיקום מזרחי,ארובות תחנת הכוח אורות רבין,גבעות מערב השומרון,מסגד מסמל הכפרים השכנים ושאיפה לדו-קיום,,,,,,,,,32.17,35.0094
efrat,מועצה מקומית אפרת,Efrat,local,judea-samaria,jewish,found,no,yes,12000,מועצה מקומית,סמליל,חום,מבנה עתיק,שדה,עץ,מוטו,,,,,,,,משה מושקוביץ,עוצב על ידי משה מושקוביץ ראש המועצה הראשון,מבנה עם כיפה מסמל את קבר רחל,בית עם גג אדום מסמל האופי הכפרי,תלמי שדה ועצים מסמלים שורשים באדמה,"""ושבו בנים לגבולם"" (ירמיהו ל""א)",,,,חום,אדום,,,,31.66,35.1572
elkana,מועצה מקומית אלקנה,Elkana,local,judea-samaria,jewish,found,yes,no,6000,מועצה מקומית,סמליל,לא ידוע,מבנה עתיק,זית,הר,,,,,,,,,מרדכי צונץ,עוצב על ידי מרדכי צונץ,מבנה המשטרה הישן בראש הגבעה,עץ זית בחזית,,,,,,,,,,,32.112,35.0196
kiryat-arba,מועצה מקומית קריית-ארבע,Kiryat Arba,local,judea-samaria,jewish,found,yes,no,,מועצה מקומית,סמליל,לא ידוע,אריה,ענבים,הר,שופר,מוטו,,,,,,,ברוך נחשון,עוצב על ידי ברוך נחשון צייר תושב המקום,נבל מציין כי דוד המלך מלך בחברון,גפנים ורימונים משני צידי הנבל,אריה במרכז כסמל שבט יהודה,מערת המכפלה בתחתית,שופרות בקצות הנבל מסמלים גאולה,,,,,,,,31.5253,35.1350
kochav-yair,מועצה מקומית כוכב-יאיר,Kochav Yair,local,center,jewish,found,yes,no,8949,מועצה מקומית,סמליל,לא ידוע,שמש,כוכבים,,,,,,,,,,,שמש ובה איור של בית מגורים על גבעות ירוקות,הסמל נכלל בסמליל ממותג עם עלי כותרת צבעוניים,,,,,,,,,,,,32.2166,34.9716
rekhasim,מועצה מקומית רכסים,Rekhasim,local,haifa,jewish,found,yes,no,16000,מועצה מקומית,סמליל,לא ידוע,הר,,,,,,,,,,,,חמישה משולשים חופפים היוצרים מראה של רכס הרים,,,,,,,,,,,,,32.7589,35.0622
savyon,מועצה מקומית סביון,Savyon,local,center,jewish,found,yes,no,4051,מועצה מקומית,סמליל,ירוק,פרח,,,,,,,,,,,,סמליל מודרני בצבע ירוק המזכיר צורת פרח,,,,,,,,ירוק,,,,,32.047,34.8696
shlomi,מועצה מקומית שלומי,Shlomi,local,north,jewish,found,yes,no,8000,מועצה מקומית,סמליל,ירוק,עץ,,,,,,,,,,,,שם וסיסמת העיר בעברית ואנגלית,סמליל עץ עם ענפים בצבעי ירוק אדום תכלת וכתום,,,,,,,ירוק,אדום,תכלת,כתום,,33.0694,35.1481
daliyat-karmel,דאלית-אל-כרמל,Daliyat al-Karmel,regional,haifa,druze,found,yes,no,18000,מועצה אזורית,סמליל,ירוק,ענבים,,,,,,,,,,2013,,אומץ ב-2013,צורת עלה תאנה עם אשכול ענבים ובו 10 סמלים קטנים,בעבר היה סמל אחר עם מקאם הנביא אבו אברהים,,,,,,ירוק,,,,,32.6869,35.0602
emek-hamayanot,מועצה אזורית עמק-המעיינות,Emek Hama'ayanot,regional,north,jewish,found,yes,no,14377,מועצה אזורית,סמליל,צהוב,גבעה,שמש,,,,,,,,,,,שם המועצה הוא המוטיב המרכזי,קו מעוגל בצורת גבעה מעליה שמש צהובה,,,,,,,צהוב,,,,,32.55,35.45
nahal-soreq,מועצה אזורית נחל-שורק,Nahal Soreq,regional,center,jewish,found,no,yes,10189,מועצה אזורית,סמליל,ירוק,גבעה,שדה,ענבים,מנורה,ספר,,,,,,2017,,אומץ ב-2017,שתי גבעות חרושות בירוק ובורדו,על גבעה אחת יישוב עם מנורה,על גבעה שנייה מגילת ספר תורה,אשכול ענבים בחזית,,,,ירוק,בורדו,,,,31.8283,34.9522
sadot-dan,מועצה אזורית שדות-דן,Sadot Dan,regional,north,jewish,found,no,yes,15987,מועצה אזורית,סמליל,לא ידוע,,,,,,,,,,,,,סמליל מודרני הכולל את שם המועצה,ממנו יוצאים זיקוקים,,,,,,,,,,,,33.2,35.6167
shaar-shomron,שער שומרון,Shaar Shomron,local,center,jewish,found,yes,no,,מועצה מקומית,סמליל,ירוק,הר,עץ,צבי,,,,,,,,2022,יולי צ'רניאק,עוצב ב-2022 על ידי יולי צ'רניאק,הרי מערב השומרון בסמל,עצים האופיניים לאזור,צבי ארץ ישראלי בזינוק מסמל תנופה,בית רעפים כפרי כחזון חלוצי,בעיצוב המקורי היה אייל ולא צבי ועודכן לאחר משוב תושבים,,,,,,,,32.1514,35.0486
ramat-yishay,מועצה מקומית רמת-ישי,Ramat Yishay,local,north,jewish,found,no,yes,7000,מועצה מקומית,סמליל,ורוד,חאן,מגדל מים,,,,,,,,,,,ציורי החאן ומגדל המים ביישוב,מוקפים בשלוש טבעות בצבעי ורוד כחול וכתום,"סיסמת המועצה ""הלב הפועם של העמק""",,,,,,ורוד,כחול,כתום,,,32.7008,35.1822
ein-knia,עין-קיניה,Ein Knia,local,north,druze,found,yes,no,2172,מועצה מקומית,שער,לא ידוע,מבצר,הר,,,,,,,,,,,שער אבן עגול התחום בחלקו התחתון בחומת אבן,ברקע ציור של רכס הרים עם מבנים,,,,,,,,,,,,33.2656,35.7625
katzrin,מועצה מקומית קצרין,Katzrin,local,north,jewish,found,yes,no,8000,מועצה מקומית,שער,כתום,מבנה עתיק,שער,,,,,,,,,,,שער אבן בצבע כתום,ציור של פנים מבנה מאחורי השער,שם המועצה בתחתית,,,,,,כתום,,,,,32.9944,35.6906
mitzpe-ramon,מועצה מקומית מצפה-רמון,Mitzpe Ramon,local,south,jewish,found,yes,no,5178,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6103,34.8019
omer,מועצה מקומית עומר,Omer,local,south,jewish,found,yes,no,7656,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2647,34.8522
bnei-shimon,מועצה אזורית בני-שמעון,Bnei Shimon,regional,south,jewish,found,yes,no,11419,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2833,34.8333
merhavim,מועצה אזורית מרחבים,Merhavim,regional,south,jewish,found,yes,no,14605,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3667,34.8667
shafir,מועצה אזורית שפיר,Shafir,regional,south,jewish,found,yes,no,12853,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6833,34.7167
tamar,מועצה אזורית תמר,Tamar,regional,south,jewish,found,yes,no,1572,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.65,35.25
dimona,דימונה,Dimona,city,south,jewish,found,yes,no,35892,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0692,35.0333
netivot,נתיבות,Netivot,city,south,jewish,found,yes,no,42039,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4222,34.5889
ofakim,אופקים,Ofakim,city,south,jewish,found,yes,no,33999,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3147,34.6225
rahat,רהט,Rahat,city,south,bedouin,found,yes,no,76237,עיר,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3926,34.7539
sderot,שדרות,Sderot,city,south,jewish,found,yes,no,30553,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5242,34.5964
umm-al-fahm,אום-אל-פחם,Umm al-Fahm,city,haifa,arab,found,yes,no,58000,עיר,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5158,35.1522
maale-adumim,מעלה-אדומים,Ma'ale Adumim,city,judea-samaria,jewish,found,yes,no,40000,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7728,35.2983
beitar-illit,ביתר-עילית,Beitar Illit,city,judea-samaria,jewish,found,yes,no,70000,עיר,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.696,35.1226
yeroham,מועצה מקומית ירוחם,Yeruham,local,south,jewish,found,yes,no,11031,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9883,34.9244
arad,מועצה מקומית ערד,Arad,local,south,jewish,found,no,yes,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2589,35.2122
lachish,מועצה אזורית לכיש,Lachish,regional,south,jewish,found,yes,no,13778,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.55,34.85
ramat-negev,מועצה אזורית רמת-נגב,Ramat Negev,regional,south,jewish,found,no,yes,8558,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,34.75
yoav,מועצה אזורית יואב,Yoav,regional,south,jewish,found,yes,no,9197,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65,34.8667
taibeh,טייבה,Taibeh,city,center,arab,found,yes,no,45388,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.28,35.0019
abu-ghosh,אבו-גוש,Abu Ghosh,local,jerusalem,arab,found,yes,no,8000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8058,35.1094
arara,ערערה,Ar'ara,local,haifa,arab,found,yes,no,15000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4969,35.0678
arara-banegev,ערערה-בנגב,Ar'ara BaNegev,local,south,bedouin,found,yes,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2533,34.8006
arraba,עראבה,Arraba,local,north,arab,found,yes,no,26641,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8523,35.3369
basma,"בסמ""ה",Basma,local,haifa,arab,found,yes,no,5000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6083,35.2028
beit-aryeh,מועצה מקומית בית-אריה,Beit Aryeh,local,judea-samaria,jewish,found,yes,no,8000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0342,35.031
beit-el,מועצה מקומית בית-אל,Beit El,local,judea-samaria,jewish,found,yes,no,7000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9333,35.2167
bir-elmaksur,ביר-אל-מכסור,Bir-Elmaksur,local,north,arab,found,yes,no,9959,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9111,35.2428
bosmat-tivon,בסמת-טבעון,Bosmat Tivon,local,north,arab,found,yes,no,8068,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,35.1333
buqata,בוקעאתה,Buq'ata,local,north,druze,found,yes,no,6752,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2347,35.7686
daburiyya,דבוריה,Daburiyya,local,north,arab,found,yes,no,10782,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6903,35.3678
deir-hanna,דיר-חנא,Deir Hanna,local,north,arab,found,yes,no,10599,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8606,35.3703
deir-al-asad,דיר-אל-אסד,Deir al-Asad,local,north,arab,found,yes,no,12935,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9372,35.2214
emanuel,מועצה מקומית עמנואל,Emanuel,local,judea-samaria,jewish,found,yes,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1594,35.0947
fassuta,פסוטה,Fassuta,local,north,arab,found,yes,no,3236,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0747,35.2772
givat-zeev,מועצה מקומית גבעת-זאב,Givat Zeev,local,judea-samaria,jewish,found,no,yes,20000,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8572,35.1736
har-adar,מועצה מקומית הר-אדר,Har Adar,local,judea-samaria,jewish,found,no,yes,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8033,35.0939
hura,חורה,Hura,local,south,bedouin,found,yes,no,23943,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2722,34.935
ilut,עילוט,Ilut,local,north,arab,found,yes,no,8654,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7011,35.2928
judeidi-makr,ג'דיידה-מכר,Judeidi-Makr,local,north,arab,found,yes,no,21507,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9297,35.1511
kafr-manda,כפר-מנדא,Kafr Manda,local,north,arab,found,yes,no,21073,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8167,35.2597
kafr-yasif,כפר-יאסיף,Kafr Yasif,local,north,mixed,found,yes,no,10323,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9508,35.1686
karnei-shomron,מועצה מקומית קרני-שומרון,Karnei Shomron,local,judea-samaria,jewish,found,yes,no,9000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1728,35.0553
kedumim,מועצה מקומית קדומים,Kedumim,local,judea-samaria,jewish,found,yes,no,5000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2333,35.1167
kfar-kana,כפר-כנא,Kfar Kana,local,north,arab,found,yes,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7461,35.3383
kfar-qasem,כפר-קאסם,Kfar Qasem,local,center,arab,found,yes,no,24757,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1153,34.9753
kfar-vradim,מועצה מקומית כפר-ורדים,Kfar Vradim,local,north,jewish,found,no,yes,5531,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0178,35.2447
kiryat-ekron,מועצה מקומית קריית-עקרון,Kiryat Ekron,local,center,jewish,found,yes,no,11051,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8647,34.8269
kisra-sumei,כסרא-סמיע,Kisra-Sumei,local,north,druze,found,yes,no,9108,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9622,35.2981
kuseife,כסיפה,Kuseife,local,south,bedouin,found,yes,no,23219,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2581,34.9047
laqye,לקיה,Laqye,local,south,bedouin,found,yes,no,15295,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3583,34.9069
reina,ריינה,Reina,local,north,arab,found,yes,no,14000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7281,35.3022
shab-al-salim,שעב,Shab al-Salim,local,north,arab,found,yes,no,5000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8556,35.3706
taibeh-north,טייבה-צפון,Taibeh (North),local,north,arab,found,yes,no,8000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.28,35.0019
tel-mond,מועצה מקומית תל-מונד,Tel Mond,local,center,jewish,found,yes,no,14179,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2561,34.9258
tuba-zangariyye,טובא-זנגרייה,Tuba-Zangariyye,local,north,arab,found,yes,no,8000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9933,35.5628
yarka,ירכא,Yarka,local,north,druze,found,yes,no,16000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9508,35.1828
lehavim,מועצה מקומית להבים,Lehavim,local,south,jewish,found,yes,no,6977,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3636,34.8228
maale-efraim,מועצה מקומית מעלה-אפרים,Maale Efraim,local,judea-samaria,jewish,found,yes,no,7000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0167,35.4
maale-iron,מעלה-עירון,Maale Iron,local,haifa,arab,found,yes,no,12000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4317,35.0383
masada,מסעדה,Masada,local,north,druze,found,yes,no,10000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3139,35.3542
mashhad,משהד,Mashhad,local,north,arab,found,yes,no,8655,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.74,35.355
mazraa,מזרעה,Mazraa,local,north,arab,found,yes,no,4078,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8628,35.2533
meitar,מועצה מקומית מיתר,Meitar,local,south,jewish,found,yes,no,10565,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3722,34.9039
nahef,נחף,Nahef,local,north,arab,found,yes,no,9000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9442,35.2819
neot-hovav,מועצה מקומית נאות-חובב,Neot Hovav,local,south,jewish,found,yes,no,2000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.15,35.0333
oranit,מועצה מקומית אורנית,Oranit,local,judea-samaria,jewish,found,yes,no,8000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1003,34.975
pardesia,מועצה מקומית פרדסיה,Pardesia,local,center,jewish,found,yes,no,7251,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.35,34.9083
peqiin,פקיעין,Peqiin,local,north,druze,found,yes,no,5000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9781,35.3272
rameh,ראמה,Rameh,local,north,arab,found,yes,no,8000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.935,35.3636
segev-shalom,שגב-שלום,Segev Shalom,local,south,bedouin,found,yes,no,11865,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2833,34.8917
shab,שעב,Sha'ab,local,north,arab,found,yes,no,5000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8556,35.3706
tel-sheva,תל-שבע,Tel Sheva,local,south,bedouin,found,yes,no,22187,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2458,34.9267
turan,טורעאן,Tur'an,local,north,arab,found,yes,no,19000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.765,35.3783
yafa-an-naseriyye,יפיע,Yafa an-Naseriyye,local,north,arab,found,yes,no,20000,עיירה,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6683,35.2994
yavneel,מועצה מקומית יבנאל,Yavneel,local,north,jewish,found,yes,yes,5000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7117,35.4983
alona,מועצה אזורית אלונה,Alona,regional,haifa,jewish,found,yes,no,,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,35.0167
central-arava,מועצה אזורית ערבה-תיכונה,Central Arava,regional,south,jewish,found,yes,no,3772,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,35.05
eshkol,מועצה אזורית אשכול,Eshkol,regional,south,jewish,found,yes,no,15205,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2333,34.5167
gderot,מועצה אזורית גדרות,Gderot,regional,center,jewish,found,yes,no,5192,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7833,34.6833
har-hevron,מועצה אזורית הר-חברון,Har Hevron,regional,judea-samaria,jewish,found,no,yes,17000,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5167,35.0833
hevel-eilot,מועצה אזורית חבל-אילות,Hevel Eilot,regional,south,jewish,found,yes,no,4745,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.65,34.95
